frame,tracklet_id,l,t,w,h,probability_of_detection
1015,4,1638.97,-57.97,269.81,559.45,0.80
1016,1,518.87,-109.57,247.21,697.31,0.74
1016,4,1635.04,-62.75,278.93,582.80,0.80
1017,1,514.82,-118.45,251.92,715.02,0.73
1017,4,1636.24,-61.78,275.28,576.58,0.80
1018,1,518.61,-102.14,244.18,693.00,0.72
1018,4,1641.29,-58.73,271.90,567.70,0.76
1019,1,521.64,-90.02,238.11,674.71,0.71
1019,4,1634.84,-56.82,273.03,570.35,0.78
1020,1,525.31,-75.85,230.57,650.96,0.72
1020,4,1636.94,-54.12,268.03,559.55,0.79
1021,1,526.21,-67.16,226.24,636.20,0.77
1021,4,1637.56,-54.26,268.38,560.70,0.76
1022,1,525.05,-62.19,227.88,639.47,0.68
1022,4,1637.70,-52.33,266.95,556.95,0.78
1023,1,522.44,-68.04,232.66,654.20,0.67
1023,4,1635.36,-53.89,273.04,571.77,0.79
1024,1,527.33,-50.86,222.31,621.63,0.74
1024,4,1632.26,-51.72,276.25,580.96,0.80
1025,1,522.39,-75.23,231.78,651.17,0.70
1025,4,1627.07,-51.70,276.67,581.49,0.82
1026,1,521.13,-86.79,234.83,662.57,0.76
1026,4,1626.43,-50.50,272.41,570.00,0.82
1027,1,520.66,-86.52,235.57,667.12,0.73
1027,4,1621.76,-49.30,270.77,562.78,0.82
1028,1,522.75,-68.64,230.67,652.87,0.74
1028,4,1620.51,-47.42,267.48,551.25,0.82
1029,1,523.05,-72.46,230.95,654.02,0.65
1029,4,1618.57,-47.43,269.34,552.18,0.82
1030,1,526.64,-54.40,222.76,628.24,0.71
1030,4,1615.91,-45.67,268.66,547.45,0.83
1031,1,535.01,-18.89,203.85,564.83,0.76
1031,4,1611.97,-46.96,272.63,553.06,0.82
1032,1,536.62,-3.23,198.67,542.75,0.83
1032,4,1609.45,-46.24,274.56,552.20,0.79
1033,1,536.60,0.99,198.30,534.12,0.80
1033,4,1607.82,-46.45,276.78,555.51,0.80
1034,1,531.99,-0.79,206.49,551.97,0.79
1034,4,1606.89,-45.10,280.19,562.04,0.74
1035,1,529.78,-6.99,210.56,557.93,0.79
1035,4,1609.27,-44.50,279.67,563.08,0.79
1036,1,526.46,-10.37,212.61,559.02,0.80
1036,4,1607.75,-44.41,280.87,566.26,0.81
1037,1,524.26,-11.26,213.51,555.96,0.84
1037,4,1610.29,-42.29,276.96,558.23,0.81
1038,1,524.63,-13.09,209.72,538.80,0.85
1038,4,1612.67,-41.62,274.52,553.47,0.84
1039,1,522.17,-15.97,213.35,542.38,0.85
1039,4,1612.30,-38.72,276.18,558.44,0.85
1040,1,520.34,-18.32,218.14,549.14,0.83
1040,4,1614.32,-38.22,274.32,556.64,0.85
1041,1,514.82,-24.84,223.64,561.87,0.81
1041,4,1617.67,-34.83,268.48,546.26,0.85
1042,1,511.77,-26.33,229.70,575.53,0.84
1042,4,1621.07,-36.74,272.83,556.30,0.81
1043,1,512.52,-29.45,231.77,577.12,0.83
1043,4,1619.84,-38.47,274.08,562.37,0.83
1044,1,509.19,-42.64,238.55,592.83,0.79
1044,4,1622.37,-37.61,268.53,551.81,0.84
1045,1,506.94,-39.68,241.14,598.73,0.83
1045,4,1622.67,-36.41,265.91,547.07,0.85
1046,1,508.75,-30.43,236.15,584.48,0.82
1046,4,1624.29,-31.73,261.90,539.06,0.85
1047,1,510.72,-20.77,231.28,569.94,0.80
1047,4,1624.50,-31.35,261.19,537.46,0.84
1048,1,510.49,-14.68,227.84,560.21,0.80
1048,4,1620.98,-30.13,266.33,549.72,0.85
1049,1,509.71,-15.17,228.68,561.82,0.79
1049,4,1621.63,-30.37,264.32,545.89,0.83
1050,1,511.05,-13.38,228.90,560.91,0.79
1050,4,1619.12,-31.29,269.07,557.30,0.83
1051,1,509.47,-18.14,234.54,575.41,0.73
1051,4,1619.53,-29.89,266.40,551.82,0.85
1052,1,506.20,-24.48,241.60,595.56,0.71
1052,4,1620.65,-28.05,265.24,548.80,0.84
1053,1,511.62,-2.10,232.49,570.49,0.65
1053,4,1619.63,-27.61,265.90,550.57,0.84
1054,1,509.69,-6.59,236.60,581.44,0.63
1054,4,1619.20,-27.36,266.27,551.13,0.83
1055,1,513.18,4.48,232.38,569.13,0.71
1055,4,1618.53,-27.08,265.65,550.01,0.84
1056,1,510.68,-7.51,239.11,587.04,0.66
1056,4,1618.03,-27.45,265.92,550.93,0.83
1057,1,514.37,4.35,233.93,573.56,0.72
1057,4,1615.37,-27.62,271.00,562.87,0.84
1058,1,517.87,9.92,229.09,559.61,0.70
1058,4,1615.18,-26.59,269.52,560.05,0.83
1059,1,525.25,7.85,217.59,525.99,0.72
1059,4,1613.63,-27.11,270.16,562.70,0.85
1060,1,526.30,-6.97,216.91,520.97,0.75
1060,4,1611.90,-27.55,272.71,570.11,0.84
1061,1,526.21,0.88,218.02,521.37,0.72
1061,4,1611.68,-26.18,272.83,572.20,0.85
1062,1,532.15,14.48,208.23,491.81,0.75
1062,4,1610.97,-24.12,272.41,573.60,0.85
1063,1,532.42,14.48,208.19,487.85,0.65
1063,4,1610.70,-24.46,272.27,575.62,0.85
1064,1,528.45,-2.11,218.32,512.07,0.51
1064,4,1614.03,-24.28,267.16,565.34,0.85
1065,1,528.31,-2.35,218.49,512.26,0.39
1065,4,1615.39,-22.34,263.29,556.97,0.85
1066,1,531.34,11.22,212.99,496.82,0.27
1066,4,1614.74,-18.82,264.17,558.87,0.84
1067,1,527.73,-8.57,222.88,521.50,0.42
1067,4,1614.94,-16.98,263.66,558.15,0.84
1068,1,525.07,-9.75,229.13,538.81,0.38
1068,4,1613.73,-16.88,267.84,568.27,0.84
1069,1,527.23,7.64,225.78,531.64,0.71
1069,4,1612.40,-17.43,269.40,572.84,0.84
1070,1,525.25,12.68,231.41,547.74,0.66
1070,4,1612.51,-16.79,268.76,572.32,0.84
1071,1,525.39,13.22,232.37,552.40,0.62
1071,4,1611.99,-17.14,269.68,575.53,0.84
1072,1,524.25,12.38,236.19,564.61,0.70
1072,4,1613.81,-16.07,264.23,563.04,0.84
1073,1,524.92,7.96,236.29,567.09,0.79
1073,4,1615.21,-14.24,258.96,550.47,0.84
1074,1,521.44,4.23,244.85,592.64,0.73
1074,4,1615.46,-14.15,257.54,546.35,0.84
1075,1,521.34,-0.23,246.05,600.02,0.68
1075,4,1614.72,-13.58,258.73,548.36,0.85
1076,1,523.30,-1.10,246.87,604.89,0.76
1076,4,1616.37,-12.72,255.35,538.66,0.84
1077,1,522.45,-6.48,253.42,625.45,0.79
1077,4,1616.43,-11.87,253.41,532.47,0.84
1078,1,525.81,-7.42,250.02,619.85,0.78
1078,4,1615.48,-11.69,254.68,533.75,0.84
1079,1,530.15,-9.41,247.19,613.23,0.63
1079,4,1613.65,-11.54,256.32,536.23,0.84
1080,1,534.03,-6.24,244.47,605.94,0.74
1080,4,1610.35,-12.63,262.20,549.99,0.84
1081,1,537.46,-7.23,245.66,608.57,0.80
1081,4,1609.35,-12.94,263.97,554.40,0.85
1082,1,539.88,-9.91,248.41,615.76,0.79
1082,4,1609.01,-12.53,262.82,552.65,0.85
1083,1,540.11,-13.56,254.68,635.18,0.80
1083,4,1608.38,-12.71,263.41,554.30,0.85
1084,1,543.72,-13.27,250.36,627.20,0.79
1084,4,1608.36,-12.24,263.22,554.80,0.85
1085,1,546.42,-13.44,249.01,627.71,0.79
1085,4,1608.78,-11.96,262.33,553.53,0.84
1086,1,548.06,-14.13,251.32,640.41,0.78
1086,4,1608.42,-11.20,261.28,551.03,0.85
1087,1,552.38,-14.47,245.35,632.64,0.80
1087,4,1601.42,-9.25,263.93,554.87,0.83
1088,1,560.23,-14.01,238.26,619.30,0.78
1088,4,1596.52,-7.98,267.73,560.88,0.84
1089,1,569.01,-14.36,232.33,606.83,0.81
1089,4,1593.89,-7.29,269.03,561.58,0.84
1090,1,574.24,-18.96,235.02,616.50,0.72
1090,4,1593.56,-8.39,268.27,556.91,0.84
1091,1,580.26,-22.97,239.47,629.73,0.67
1091,4,1597.91,-8.16,269.86,561.58,0.84
1092,1,588.21,-24.56,241.09,633.92,0.78
1092,4,1593.41,-5.76,268.57,555.21,0.84
1093,1,594.40,-29.54,245.78,646.07,0.76
1093,4,1589.49,-5.64,270.74,555.77,0.82
1094,1,603.18,-32.82,245.87,644.96,0.79
1094,4,1589.88,-4.40,271.48,555.86,0.84
1095,1,611.48,-34.33,242.78,634.51,0.76
1095,4,1592.13,-3.50,269.43,549.43,0.83
1096,1,618.40,-38.73,244.37,639.22,0.70
1096,4,1594.96,-2.41,268.38,546.21,0.84
1097,1,623.66,-43.65,245.49,642.92,0.77
1097,4,1595.60,-1.91,267.08,541.56,0.86
1098,1,628.56,-46.87,246.58,649.91,0.71
1098,4,1594.57,0.71,267.38,539.85,0.85
1099,1,632.91,-50.33,245.16,651.48,0.80
1099,4,1595.49,1.22,266.70,535.90,0.85
1100,1,640.23,-53.43,239.30,641.43,0.81
1100,4,1595.48,1.82,268.98,539.41,0.86
1101,1,644.89,-56.29,233.98,635.03,0.82
1101,4,1596.98,2.80,270.42,542.00,0.86
1102,1,647.89,-60.73,230.65,637.62,0.82
